Download Link:,Object Number:,Artist:,Title:,Medium:
https://nationalgalleryimages.ie/asset/?external_id=NGI.3854&download=true,NGI.3854,"Artist: Anthony Copley Fielding, 1787-1855",A Rain Shower in the Scottish Highlands,Watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.3624&download=true,NGI.3624,"Artist: Giuseppe Macpherson, 1726-c.1778","Maria Theresa (1717-1780), Empress of Germany, Queen of Bohemia and Hungary",Enamel on copper
https://nationalgalleryimages.ie/asset/?external_id=NGI.3619&download=true,NGI.3619,"Artist: Henry Bone, 1755-1834","Dr John Moore, Archbishop of Canterbury (1730-1805)",Enamel on copper
https://nationalgalleryimages.ie/asset/?external_id=NGI.3579&download=true,NGI.3579,"Artist: William Bone, fl.1815-1843","Robert Trewick Bone (1790-1840), Artist and the Brother of William",Enamel on copper
https://nationalgalleryimages.ie/asset/?external_id=NGI.331&download=true,NGI.331,"Artist: James Rannie Swinton, 1816-1888",Portrait of Lady Claude Hamilton,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.3275&download=true,NGI.3275,"Artist: Sarah Henrietta Purser, 1848-1943",A Standing Female Nude,Charcoal on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.3270&download=true,NGI.3270,"Artist: Paul Nash, 1889-1946",The Door to a Garden,Graphite and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.3009&download=true,NGI.3009,"Artist: Marguerite Lemercier O'Hagan, 1859-after 1925","Eugene Emmanuel Lemercier (1886-1915), Artist and her Son, who Died in Action",Pastel on brown paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.271&download=true,NGI.271,"Artist: Lodewijk de Vadder, 1605-1655",Landscape with Peasants and Cattle,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.2616&download=true,NGI.2616,"Artist: Frederick Goodall, 1822-1904",Evening Prayers in the Desert,Watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2577&download=true,NGI.2577,"Artist: Paul Sandby, 1725-1809","The Hundred Steps and Winchester Tower, Windsor Castle, Berkshire",Ink and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2353&download=true,NGI.2353,"Artist: John Comerford, 1770-1832",Peter Atkinson (1783/1784-1817),Watercolour on ivory
https://nationalgalleryimages.ie/asset/?external_id=NGI.2051&download=true,NGI.2051,"Artist: John Comerford, 1770-1832","William Casey of Springfield, County Clare",Watercolour on ivory
https://nationalgalleryimages.ie/asset/?external_id=NGI.1846&download=true,NGI.1846,"Artist: Unknown Artist, Moscow, Russia, fl. first half 16th century","The Virgin's Protection, or Stole",Tempera on panel
https://nationalgalleryimages.ie/asset/?external_id=NGI.1733&download=true,NGI.1733,"Attributed to: Claude-Joseph Vernet, 1714-1789",A Coastal Scene,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.1681&download=true,NGI.1681,"Artist: Jan Spaan, c.1742-1828",Village with a Windmill,Oil on panel
https://nationalgalleryimages.ie/asset/?external_id=NGI.1276&download=true,NGI.1276,"Artist: George Francis Mulvany, 1809-1869",The Village Orphans,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.11886&download=true,NGI.11886,"Engraver: J.J. Perret, 18th century, After: John Rocque, c.1705-1762","A Plan of the City of Dublin and Environs in 1753, on the same scale as London, Paris and Rome",Line
https://nationalgalleryimages.ie/asset/?external_id=NGI.11846&download=true,NGI.11846,"Artist: Romeyn de Hooghe, 1645-1708","The Departure from Holland of William, Prince of Orange, (1650-1702), on 2nd November 1688, to Become King William III of England",Etching
https://nationalgalleryimages.ie/asset/?external_id=NGI.11665&download=true,NGI.11665,"Engraver: John Raphael Smith, 1752-1812, After: Richard Cosway, 1742-1821","Wisdom Directing Beauty and Virtue to Sacrifice at the Alter of Diana' - Juliana, Countess of Carrick (née Boyle), (c.1728-1814), Wife of the 1st Earl and her Daughters Lady [...]",Mezzotint
https://nationalgalleryimages.ie/asset/?external_id=NGI.19590&download=true,NGI.19590,"Artist: Rose Barton, 1865-1929","The Garden of Lindsey House, London",Graphite and watercolour on board
https://nationalgalleryimages.ie/asset/?external_id=NGI.7933&download=true,NGI.7933,"Artist: Antonio Mancini, 1852-1930","Sarah Cecilia Harrison (1836-1941), Artist",Charcoal and red conté with white highlights on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2937&download=true,NGI.2937,"Artist: John Butler Yeats, 1839-1922","John Millington Synge (1871-1909), Playwright",Graphite on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2866&download=true,NGI.2866,"Artist: John Butler Yeats, 1839-1922","Sir Hugh Lane (1875-1915), later Director of the National Gallery of Ireland",Graphite on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.1318&download=true,NGI.1318,"Artist: John Butler Yeats, 1839-1922","Portrait of Augusta Gregory (1852-1932), Dramatist",Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.1280&download=true,NGI.1280,"Artist: Sarah Cecilia Harrison, 1863-1941","Portrait of Sir Hugh Lane (1865-1915), Director of the National Gallery of Ireland 1914-1915",Oil on panel
https://nationalgalleryimages.ie/asset/?external_id=NGI.1279&download=true,NGI.1279,"Artist: Sarah Cecilia Harrison, 1863-1941",Self-Portrait,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.1274&download=true,NGI.1274,"Artist: William Orpen, 1878-1931","Portrait of Augusta Gregory (1852-1932), Dramatist and Folklorist",Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.1647&download=true,NGI.1647,"Artist: Baptiste, 17th century",A Flower-piece,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.2016.16&download=true,NGI.2016.16,"Artist: Aloysius O'Kelly, 1853-1936","A Barber, Morocco",Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.2016.1&download=true,NGI.2016.1,"Artist: John Skinner Prout, 1806-1876","Saint Patrick's Cross, Cashel",Watercolour and graphite on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2014.162&download=true,NGI.2014.162,"Artist: Joseph Pennell, 1866-1926","The Palaces, Venice",Etching
https://nationalgalleryimages.ie/asset/?external_id=NGI.2014.157&download=true,NGI.2014.157,"Artist: Luigi Rossini, 1790-1857",Veduta della Parte Posterior degl'Avanzi del Foro di Nerva,Etching
https://nationalgalleryimages.ie/asset/?external_id=NGI.2014.156&download=true,NGI.2014.156,"Artist: Luigi Rossini, 1790-1857",Avanzo del Tempio di Minerva Medica,Etching
https://nationalgalleryimages.ie/asset/?external_id=NGI.2014.10.6&download=true,NGI.2014.10.6,"Artist: Berthe Morisot, 1841-1895",Jardin de Mézy,Drypoint on wove paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2016.5&download=true,NGI.2016.5,"Artist: Archibald McGoogan, 1866-1931",After the Bombardment,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.2013.10&download=true,NGI.2013.10,"Artist: Jerome Connor, 1874-1943",Mould for Medallion for Coniage Design with Florin,Plaster
https://nationalgalleryimages.ie/asset/?external_id=NGI.2013.9&download=true,NGI.2013.9,"Artist: Jerome Connor, 1874-1943",Mould for Medallion of Coniage Design with Harp,Plaster
https://nationalgalleryimages.ie/asset/?external_id=NGI.2013.4&download=true,NGI.2013.4,"Artist: Jerome Connor, 1874-1943","Mould of Medallion of Robert Emmet (1778 - 1803), Irish Patriot",Plaster
https://nationalgalleryimages.ie/asset/?external_id=NGI.2011.14&download=true,NGI.2011.14,"Artist: Alexander Doussin Dubreuil, fl. 1842-1845",Frame containing six daguerreotypes of Daniel O'Connell and the Repeal Martyrs,Daguerrotypes
https://nationalgalleryimages.ie/asset/?external_id=NGI.2503&download=true,NGI.2503,"Artist: Bartholomew Colles Watkins, 1833-1891","A Hill near Esher, Surrey",Watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.989&download=true,NGI.989,Artist: Loir,Rebecca at the Well,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.8383&download=true,NGI.8383,"Artist: Jerome Connor, 1874-1943",Life mask,Plaster
https://nationalgalleryimages.ie/asset/?external_id=NGI.8382&download=true,NGI.8382,"Artist: Jerome Connor, 1874-1943",Left hand,Plaster
https://nationalgalleryimages.ie/asset/?external_id=NGI.8368&download=true,NGI.8368,"Artist: Jerome Connor, 1874-1943","Relief of Desmond Fitzgerald, (1888-1947), Minister for External Affairs (1926)",Plaster
https://nationalgalleryimages.ie/asset/?external_id=NGI.8364&download=true,NGI.8364,"Artist: Jerome Connor, 1874-1943","Medallion of Kevin O'Higgins, (1892-1927), Minister for Justice",Plaster
https://nationalgalleryimages.ie/asset/?external_id=NGI.8362&download=true,NGI.8362,"Artist: Jerome Connor, 1874-1943","Medallion of William T. Cosgrave, (1880-1965), President of the Executive Council of the Irish Free State",Plaster
https://nationalgalleryimages.ie/asset/?external_id=NGI.8244&download=true,NGI.8244,"Artist: John Hogan, 1800-1858","Statuette of Thomas Moore (1799-1852) with a Lyre, Poet",Bronze
https://nationalgalleryimages.ie/asset/?external_id=NGI.7965&download=true,NGI.7965,"Artist: Harry Clarke, 1889-1931","A Floral Textile Design, for Sefton Fabrics, Belfast, 1918/19",Graphite and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.7962&download=true,NGI.7962,"Artist: Harry Clarke, 1889-1931","A Butterfly Textile Design, for Sefton Fabrics, Belfast, 1918/19",Ink and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.7917&download=true,NGI.7917,"Artist: H V Johnson, 20th century","Lane Present in Body and Spirit at the Ladies' Meeting, Royal Hibernian Academy",Graphite on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.7814&download=true,NGI.7814,"Artist: William Orpen, 1878-1931","The Vere Foster Family - Sir Augustus (1873-1947), Lady Charlotte Philippa Marion (née ffolkes), (d.1938), Philippa Eugenie (1898-1962) and Dorothy Elizabeth (b.1903, now Mrs May)",Graphite on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.7739&download=true,NGI.7739,"Artist: Mainie Jellett, 1897-1944",Pietà,Ink on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.7712&download=true,NGI.7712,"Artist: John Butler Yeats, 1839-1922","Maude Gonne McBride, (1866-1953), Actress and Revolutionary",Graphite and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.7483&download=true,NGI.7483,"Artist: Unknown Artist, Rome, 18th century",A Resting Shepherd and Travellers in a Classical Landscape,Ink and wash on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.7462&download=true,NGI.7462,"Artist: Matteo Carboni, fl.c.1750-c.1800",Two Classical Women,Ink and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.7461&download=true,NGI.7461,"Artist: Matteo Carboni, fl.c.1750-c.1800",An Offering to Isis,Ink and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.7236&download=true,NGI.7236,"Artist: Unknown Artist, Ireland, 19th century","Thomas Hutton (1788-1865), Coach Builder",Watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.7170&download=true,NGI.7170,"Artist: Frederick Buck, 1771-1839/40",Miss Buck,Watercolour on ivory
https://nationalgalleryimages.ie/asset/?external_id=NGI.6999&download=true,NGI.6999,"Artist: Mainie Jellett, 1897-1944",Abstract,Gouache on card
https://nationalgalleryimages.ie/asset/?external_id=NGI.6938&download=true,NGI.6938,"Artist: Francis Fowke, 1823-1865",Details of the Sculpture Hall,"Ink, graphite and watercolour on paper"
https://nationalgalleryimages.ie/asset/?external_id=NGI.6937&download=true,NGI.6937,"Artist: Francis Fowke, 1823-1865",A Section through the Vaults and Furnace Room,"Ink, graphite and watercolour on paper"
https://nationalgalleryimages.ie/asset/?external_id=NGI.6930&download=true,NGI.6930,"Artist: Francis Fowke, 1823-1865",The West Elevation,"Ink, graphite and watercolour on paper"
https://nationalgalleryimages.ie/asset/?external_id=NGI.6817&download=true,NGI.6817,"Artist: Unknown Artist, Italy, 17th century",?Elizabeth Fontana,Pastel on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.6507&download=true,NGI.6507,"Artist: Michael Healy RHA, 1873-1941",Male Heads,Ink on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.6487&download=true,NGI.6487,"Artist: Michael Healy RHA, 1873-1941",People in the Street,Ink on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.6452&download=true,NGI.6452,"Artist: Michael Healy RHA, 1873-1941",A Scowling Man on a Train,Ink on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.6420&download=true,NGI.6420,"Artist: Michael Healy RHA, 1873-1941",A Woman in a Purple Jacket,Graphite and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.6416&download=true,NGI.6416,"Artist: Michael Healy RHA, 1873-1941",A Man with a Walking Stick,Watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.6410&download=true,NGI.6410,"Artist: Michael Healy RHA, 1873-1941",A Woman Pushing a Child in a Pram,Graphite and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.6246&download=true,NGI.6246,"Artist: Augustin Amant Constant Fidèle Edouart, 1789-1861","Silhouettes of Mrs Joseph Wright and her Children Jane (1819-1866), Thomas, Henry, John and Joseph (1817-1868) (left to right)",Black paper on card
https://nationalgalleryimages.ie/asset/?external_id=NGI.6245&download=true,NGI.6245,"Artist: Augustin Amant Constant Fidèle Edouart, 1789-1861","Silhouettes of Jane Waring, Hettie Waring Belcher, William, Dora, William and Mrs Belcher (left to right)",Black paper on card
https://nationalgalleryimages.ie/asset/?external_id=NGI.6244&download=true,NGI.6244,"Artist: Augustin Amant Constant Fidèle Edouart, 1789-1861","Silhouette of John Buckley, (fl. c.1835), Artist",Black paper and ink on card
https://nationalgalleryimages.ie/asset/?external_id=NGI.6243&download=true,NGI.6243,"Artist: Augustin Amant Constant Fidèle Edouart, 1789-1861","Silhouette of Major Nicholas Purcell O'Gorman, (d.1857)",Black paper on card
https://nationalgalleryimages.ie/asset/?external_id=NGI.590&download=true,NGI.590,"Artist: Jan Baptiste Lambrechts, 1680- after 1731",Interior with Five Figures,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.503&download=true,NGI.503,"Artist: William James Blacklock, 1815-1858","Naworth Castle, Cumbria",Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.4647&download=true,NGI.4647,"Artist: Luca Giordano, 1634-1705","Venus, Mars and the Forge of Vulcan",Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.3971&download=true,NGI.3971,"Artist: Nicholas Pocock, 1740-1821",British Men-of-War in a Fresh Breeze,Ink and watercolour on card
https://nationalgalleryimages.ie/asset/?external_id=NGI.3961&download=true,NGI.3961,"After: Charles Le Brun, 1619-1690",Lions' Heads,Graphite on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.3914&download=true,NGI.3914,"Artist: Jean Baptiste Claude Chatelain, c.1710-c.1771",A River in a Valley,Graphite on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.3777&download=true,NGI.3777,"Artist: Leo Mielziner, 20th century","Stephen MacKenna (1871-1934), Scholar and Nationalist, in Paris",Black and red chalk on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.3291&download=true,NGI.3291,"Artist: Francesco Simonini, 1686-1753",Cavalry Fighting below a Walled Town,Ink on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.3272&download=true,NGI.3272,"Artist: Paul Nash, 1889-1946","Hillingdon Church, London","Crayon, graphite and watercolour on paper"
https://nationalgalleryimages.ie/asset/?external_id=NGI.3267&download=true,NGI.3267,"Artist: Samuel Lover, 1797-1868",Portrait of a Gentleman in Theatrical Costume,Watercolour on ivory
https://nationalgalleryimages.ie/asset/?external_id=NGI.3042&download=true,NGI.3042,"Artist: Sarah Cecilia Harrison, 1863-1941","Mrs Edith Best (née Oldham), (1865-1950), Musician",Graphite and wash on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2717&download=true,NGI.2717,"Artist: Nathaniel Hone the Elder, 1718-1784",Sarah Sophia Banks,Watercolour on ivory
https://nationalgalleryimages.ie/asset/?external_id=NGI.2711&download=true,NGI.2711,"After: Pietro Dandini, 1646-1712",Saint Benedict or Saint Francis of Assisi,Ink and wash with white highlights on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2679&download=true,NGI.2679,"Artist: John Hamilton Mortimer, 1741-1779",Edgar and the Earl of Gloucester,Ink and wash on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2604&download=true,NGI.2604,"Artist: Giovanni Antonio Burrini, 1656-1727",The Holy Family with a Female Saint,Bistre and wash with white highlights on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2523&download=true,NGI.2523,"Artist: Henry Kirchhoffer, 1781-1860","Charles Robertson (1760-1821), at his Miniature Painter's Desk",Graphite and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2466&download=true,NGI.2466,"Artist: George B. Campion, c.1796-1870",Spanish Peasants,Graphite and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2461&download=true,NGI.2461,"Artist: George Howse, fl.1830, d. c.1860","Rochester Bridge and Castle, Kent",Watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2443&download=true,NGI.2443,"Artist: William Mulready, 1786-1863","A Wych Elm at Hawley, Hampshire",Graphite on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2368&download=true,NGI.2368,"Artist: George Petrie, 1790-1866","Kilcullen Bridge, County Kildare (for an engraving 1st May 1820 and ill. for Cromwell's 'Excursions through Ireland', 1820)",Graphite and wash on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2367&download=true,NGI.2367,"Artist: George Petrie, 1790-1866","Slane Castle, County Meath",Wash on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2334&download=true,NGI.2334,"Artist: Hablot Knight Browne, 1815-1882",Mountain Breezes,Charcoal and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2294&download=true,NGI.2294,"Artist: G Sims, fl.1829-1840","A Horse and Cart Passing Cattle near the Windmill on Wimbledon Common, London",Graphite and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2246&download=true,NGI.2246,"Studio of: Guido Reni, 1575-1642",The Virgin of the Immaculate Conception,Red chalk on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2139&download=true,NGI.2139,"Artist: George Perfect Harding, 1780-1853, after: Peter Lely, 1618-1680","Henry Bennett, 1st Earl of Arlington (1618-1685)",Watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2101&download=true,NGI.2101,"Artist: Pieter de With, fl.1650-1660",A Wooded Landscape after Sunset,"Ink, wash and bodycolour with white and gold highlights on paper"
https://nationalgalleryimages.ie/asset/?external_id=NGI.20863&download=true,NGI.20863,"Artist: Joseph Malachy Kavanagh, 1856-1918","The King's Gate, Mont Saint-Michel",Etching drypoint on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2080&download=true,NGI.2080,"Artist: Henry Edward Doyle, 1827-1892","Cardinal Nicholas Wiseman (1802-1865), Archbishop of Westminster",Charcoal and watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.20794&download=true,NGI.20794,"Artist: Stefano Della Bella, 1610-1664",The Doc (No. 15),Etching
https://nationalgalleryimages.ie/asset/?external_id=NGI.20793&download=true,NGI.20793,"Artist: Stefano Della Bella, 1610-1664",The Ox (No. 13),Etching
https://nationalgalleryimages.ie/asset/?external_id=NGI.20792&download=true,NGI.20792,"Artist: Stefano Della Bella, 1610-1664",The Lion (No.5),Etching
https://nationalgalleryimages.ie/asset/?external_id=NGI.20544&download=true,NGI.20544,"Engraver: Unknown Artist, France, 18th century, After: Giovanni Paolo Panini, c.1692-1765",Roman Capriccio with the Pyramid of Cestius,Line
https://nationalgalleryimages.ie/asset/?external_id=NGI.20468&download=true,NGI.20468,"Engraver: Gaetano Zancon, 1771-1816, After: Unknown Artist, Italy, 18th century",A Chinese building,Line with watercolour
https://nationalgalleryimages.ie/asset/?external_id=NGI.20392&download=true,NGI.20392,"Artist: G. Carocci, early 19th century","Pisa Baptistery, North Italy",Etching and aquatint with watercolour
https://nationalgalleryimages.ie/asset/?external_id=NGI.20359&download=true,NGI.20359,"Artist: Unknown Artist, France, 18th century","Archbishop François de Salignac, (1651-1715)",Line and stipple
https://nationalgalleryimages.ie/asset/?external_id=NGI.20233&download=true,NGI.20233,"Artist: Stefano Della Bella, 1610-1664",The Leopard (No.9),Etching
https://nationalgalleryimages.ie/asset/?external_id=NGI.20230&download=true,NGI.20230,"Engraver: Unknown Artist, French, 17th century, After: Jean Thierry, 1669-1739",The Triumph of Amphitrite,Line
https://nationalgalleryimages.ie/asset/?external_id=NGI.20180&download=true,NGI.20180,"Engraver: Unknown Artist, France, 19th century, After: Lucius Rossi, 1846-1913",Chinese Style Interior,Etching with watercolour
https://nationalgalleryimages.ie/asset/?external_id=NGI.20179&download=true,NGI.20179,"Engraver: Unknown Artist, France, 19th century, After: Lucius Rossi, 1846-1913",Cross Section and Plan of a Villa in the Roman Style,Etching with watercolour
https://nationalgalleryimages.ie/asset/?external_id=NGI.20171&download=true,NGI.20171,"Artist: Angelo Biasioli, 1790-1830",Twenty-Two Musical Instruments,Etching with watercolour
https://nationalgalleryimages.ie/asset/?external_id=NGI.2004&download=true,NGI.2004,"Artist: John Augustus Atkinson, 1775-1831",Harvesters,Watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.19609&download=true,NGI.19609,"Artist: William Crampton Gore, 1871-1946",An Eastern Scene,"Watercolour, gouache and bodycolour with glazes and traces of crayon on paper"
https://nationalgalleryimages.ie/asset/?external_id=NGI.19420&download=true,NGI.19420,"Artist: William Orpen, 1878-1931","The Priest, Study for 'The Holy Well'",Pencil and black crayon on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.19411&download=true,NGI.19411,"Artist: Adam Buck, 1759-1833",Portrait of a Mother and Child,Watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.19367&download=true,NGI.19367,"Artist: Gaspare Gabrielli, fl.1803-1833",A Country Churchyard,Gouache on card
https://nationalgalleryimages.ie/asset/?external_id=NGI.19226&download=true,NGI.19226,"Artist: Elizabeth, Countess of Harrington, c.1819-1912","Wheelbarrow Containing Six Children: Phillipa Leicester, Fanny Joanna, Caroline Margaret, Fitzroy William, Lincoln Edwin and Charles Augustus Stanhope, later 8th Earl of Harrington",
https://nationalgalleryimages.ie/asset/?external_id=NGI.19166&download=true,NGI.19166,"Artist: Gaspare Gabrielli, fl.1803-1833","Tivoli, near Rome",Ink and wash on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.19001&download=true,NGI.19001,"Artist: Jeremiah Hodges Mulcahy, 1804-1889",A Lock Gate,Graphite on card
https://nationalgalleryimages.ie/asset/?external_id=NGI.18991&download=true,NGI.18991,"Artist: Thomas Sautelle Roberts, 1760-1826","The Countryside near Bray, County Wicklow, Looking towards Killiney Bay","Ink, graphite and watercolour on paper"
https://nationalgalleryimages.ie/asset/?external_id=NGI.18990&download=true,NGI.18990,"Artist: Thomas Couture, 1815-1879","Details of the Model's Head and Hat, for 'La Peinture Réaliste'",Charcoal on grey paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.18931&download=true,NGI.18931,"Artist: Frederic William Burton, 1816-1900",A Design for the Crown of the Mace of the Royal College of Physicians of Ireland,Ink on paper
